id,title,body,category,priority
159,API restituisce 401 ID#3305,Il sistema è lento e spesso non risponde. non urgente.,Tecnico,alta
160,Timeout durante upload ID#6178,"Integrazione API fallisce con 401, non posso lavorare. per favore.",Tecnico,alta
161,Timeout durante upload ID#6317,Da stamattina errore 500 quando apro la schermata principale. entro domani.,Tecnico,alta
162,API restituisce 401 ID#4207,"L'app si chiude subito, comportamento bloccante..",Tecnico,alta
163,Sistema lento ID#7098,Il sistema è lento e spesso non risponde. per favore.,Tecnico,media
164,API restituisce 401 ID#2251,"Integrazione API fallisce con 401, non posso lavorare. entro domani.",Tecnico,media
165,API restituisce 401 ID#1790,Il sistema è lento e spesso non risponde. entro oggi.,Tecnico,media
166,App non si avvia ID#5679,Da stamattina errore 500 quando apro la schermata principale. grazie.,Tecnico,alta
167,Login non funziona ID#8147,Il sistema è lento e spesso non risponde. richiesta bloccante.,Tecnico,alta
168,Timeout durante upload ID#7116,"Non riesco ad accedere, login non funziona con credenziali corrette. non urgente.",Tecnico,alta
169,Errore 500 in dashboard ID#9998,"Integrazione API fallisce con 401, non posso lavorare. il prima possibile.",Tecnico,alta
170,App non si avvia ID#7731,Da stamattina errore 500 quando apro la schermata principale. è urgente.,Tecnico,alta
171,Crash dopo aggiornamento ID#8955,Il sistema è lento e spesso non risponde..,Tecnico,alta
172,Crash dopo aggiornamento ID#8736,"Dopo aggiornamento crash frequente, è urgente. non urgente.",Tecnico,alta
173,Timeout durante upload ID#5878,Il sistema è lento e spesso non risponde. entro oggi.,Tecnico,alta
174,Sistema lento ID#4910,"Integrazione API fallisce con 401, non posso lavorare. entro oggi.",Tecnico,media
175,Servizio fermo ID#2961,"Integrazione API fallisce con 401, non posso lavorare. grazie.",Tecnico,alta
176,Crash dopo aggiornamento ID#4405,"L'app si chiude subito, comportamento bloccante. richiesta bloccante.",Tecnico,alta
177,Servizio fermo ID#8421,"Non riesco ad accedere, login non funziona con credenziali corrette. entro domani.",Tecnico,alta
178,Servizio fermo ID#3287,"Integrazione API fallisce con 401, non posso lavorare. richiesta bloccante.",Tecnico,alta
179,Login non funziona ID#2486,"Non riesco ad accedere, login non funziona con credenziali corrette. grazie.",Tecnico,media
180,Timeout durante upload ID#6231,"L'app si chiude subito, comportamento bloccante. il prima possibile.",Tecnico,alta
181,Timeout durante upload ID#4311,Il sistema è lento e spesso non risponde..,Tecnico,alta
182,API restituisce 401 ID#7781,"Integrazione API fallisce con 401, non posso lavorare. richiesta bloccante.",Tecnico,alta
183,Login non funziona ID#5427,"Integrazione API fallisce con 401, non posso lavorare. entro domani.",Tecnico,media
184,Errore 500 in dashboard ID#5546,"Servizio fermo, sistema down, priorità alta. entro domani.",Tecnico,alta
185,Crash dopo aggiornamento ID#2517,"Non riesco ad accedere, login non funziona con credenziali corrette. entro oggi.",Tecnico,alta
186,Login non funziona ID#7549,"Integrazione API fallisce con 401, non posso lavorare. è urgente.",Tecnico,alta
187,API restituisce 401 ID#1357,Il sistema è lento e spesso non risponde. grazie.,Tecnico,media
188,Errore 500 in dashboard ID#8754,"Integrazione API fallisce con 401, non posso lavorare. è urgente.",Tecnico,alta
189,Errore 500 in dashboard ID#7414,"L'app si chiude subito, comportamento bloccante. richiesta bloccante.",Tecnico,alta
190,Servizio fermo ID#5070,"Servizio fermo, sistema down, priorità alta. per favore.",Tecnico,alta
191,Login non funziona ID#3491,"Dopo aggiornamento crash frequente, è urgente. richiesta bloccante.",Tecnico,alta
192,App non si avvia ID#2392,"Servizio fermo, sistema down, priorità alta. richiesta bloccante.",Tecnico,alta
193,Errore 500 in dashboard ID#3058,Da stamattina errore 500 quando apro la schermata principale. il prima possibile.,Tecnico,alta
194,Errore 500 in dashboard ID#3096,Il sistema è lento e spesso non risponde. entro oggi.,Tecnico,alta
195,API restituisce 401 ID#2629,"L'app si chiude subito, comportamento bloccante. per favore.",Tecnico,alta
196,Sistema lento ID#7358,"Non riesco ad accedere, login non funziona con credenziali corrette. entro oggi.",Tecnico,media
197,Login non funziona ID#1171,Da stamattina errore 500 quando apro la schermata principale. richiesta bloccante.,Tecnico,alta
198,Sistema lento ID#5564,"Servizio fermo, sistema down, priorità alta. entro domani.",Tecnico,alta
199,Login non funziona ID#9622,"Servizio fermo, sistema down, priorità alta. il prima possibile.",Tecnico,alta
200,Login non funziona ID#7747,Da stamattina errore 500 quando apro la schermata principale. entro oggi.,Tecnico,alta
201,Richiesta preventivo ID#4180,Vorrei un preventivo per 20 licenze e assistenza. è urgente.,Commerciale,alta
202,Cambio ordine ID#5214,Quali differenze tra piano Base e Pro? il prima possibile.,Commerciale,bassa
203,Cambio ordine ID#4715,Vorrei fare upgrade del piano dal prossimo mese. è urgente.,Commerciale,alta
204,Richiesta preventivo ID#7890,Vorrei fare upgrade del piano dal prossimo mese. entro domani.,Commerciale,media
205,Cambio ordine ID#1110,Mi servono tempi di consegna stimati. entro oggi.,Commerciale,bassa
206,Info offerta Pro ID#9121,Mi servono tempi di consegna stimati. il prima possibile.,Commerciale,bassa
207,Sconto per quantità ID#4781,Mi servono tempi di consegna stimati. è urgente.,Commerciale,alta
208,Tempi di consegna ID#5832,Possiamo avere sconto per quantità su ordine ricorrente? per favore.,Commerciale,bassa
209,Disponibilità prodotto ID#4658,Qual è lo stato del mio ordine e quando arriva? è urgente.,Commerciale,alta
210,Cambio ordine ID#3398,Vorrei un preventivo per 20 licenze e assistenza. non urgente.,Commerciale,alta
211,Richiesta preventivo ID#1387,Mi servono tempi di consegna stimati. grazie.,Commerciale,bassa
212,Cambio ordine ID#1985,Vorrei un preventivo per 20 licenze e assistenza. grazie.,Commerciale,bassa
213,Cambio ordine ID#6147,Disponibilità prodotto e costi di spedizione. per favore.,Commerciale,bassa
214,Info offerta Pro ID#6394,Qual è lo stato del mio ordine e quando arriva? il prima possibile.,Commerciale,bassa
215,Stato ordine ID#1522,Disponibilità prodotto e costi di spedizione. entro oggi.,Commerciale,bassa
216,Cambio ordine ID#6434,Vorrei fare upgrade del piano dal prossimo mese. è urgente.,Commerciale,alta
217,Stato ordine ID#1047,Quali differenze tra piano Base e Pro? per favore.,Commerciale,bassa
218,Sconto per quantità ID#6758,Quali differenze tra piano Base e Pro? non urgente.,Commerciale,alta
219,Info offerta Pro ID#7228,Mi servono tempi di consegna stimati. entro domani.,Commerciale,media
220,Sconto per quantità ID#2437,Posso modificare l'ordine già inserito?.,Commerciale,bassa
221,Disponibilità prodotto ID#7106,Mi servono tempi di consegna stimati. richiesta bloccante.,Commerciale,alta
222,Disponibilità prodotto ID#6297,Mi servono tempi di consegna stimati. entro domani.,Commerciale,media
223,Disponibilità prodotto ID#7730,Vorrei un preventivo per 20 licenze e assistenza. il prima possibile.,Commerciale,bassa
224,Cambio ordine ID#7153,Vorrei un preventivo per 20 licenze e assistenza..,Commerciale,bassa
225,Disponibilità prodotto ID#2015,Quali differenze tra piano Base e Pro? entro oggi.,Commerciale,bassa
226,Tempi di consegna ID#6555,Quali differenze tra piano Base e Pro? entro domani.,Commerciale,media
227,Sconto per quantità ID#1714,Vorrei fare upgrade del piano dal prossimo mese. entro oggi.,Commerciale,bassa
228,Upgrade piano ID#5872,Possiamo avere sconto per quantità su ordine ricorrente?.,Commerciale,bassa
229,Info offerta Pro ID#4831,Vorrei un preventivo per 20 licenze e assistenza. per favore.,Commerciale,bassa
230,Disponibilità prodotto ID#7332,Disponibilità prodotto e costi di spedizione. entro oggi.,Commerciale,bassa
231,Cambio ordine ID#3174,Disponibilità prodotto e costi di spedizione. è urgente.,Commerciale,alta
232,Stato ordine ID#5969,Vorrei un preventivo per 20 licenze e assistenza. grazie.,Commerciale,bassa
233,Tempi di consegna ID#6235,Vorrei fare upgrade del piano dal prossimo mese. è urgente.,Commerciale,alta
234,Upgrade piano ID#9386,Quali differenze tra piano Base e Pro? il prima possibile.,Commerciale,bassa
235,Cambio ordine ID#5051,Qual è lo stato del mio ordine e quando arriva? non urgente.,Commerciale,alta
236,Info offerta Pro ID#8892,Vorrei un preventivo per 20 licenze e assistenza. richiesta bloccante.,Commerciale,alta
237,Upgrade piano ID#7988,Qual è lo stato del mio ordine e quando arriva? per favore.,Commerciale,bassa
238,Info offerta Pro ID#2377,Possiamo avere sconto per quantità su ordine ricorrente? il prima possibile.,Commerciale,bassa
239,Info offerta Pro ID#9167,Posso modificare l'ordine già inserito? è urgente.,Commerciale,alta
240,Stato ordine ID#3177,Mi servono tempi di consegna stimati. non urgente.,Commerciale,alta
241,Disponibilità prodotto ID#9823,Mi servono tempi di consegna stimati. per favore.,Commerciale,bassa
242,Sconto per quantità ID#5577,Possiamo avere sconto per quantità su ordine ricorrente? entro oggi.,Commerciale,bassa
243,Upgrade piano ID#5265,Possiamo avere sconto per quantità su ordine ricorrente? il prima possibile.,Commerciale,bassa
244,Disponibilità prodotto ID#4043,Mi servono tempi di consegna stimati. il prima possibile.,Commerciale,bassa
245,Tempi di consegna ID#5609,Qual è lo stato del mio ordine e quando arriva? il prima possibile.,Commerciale,bassa
246,Upgrade piano ID#7489,Quali differenze tra piano Base e Pro? entro oggi.,Commerciale,bassa
247,Tempi di consegna ID#2647,Mi servono tempi di consegna stimati. è urgente.,Commerciale,alta
248,Richiesta preventivo ID#1073,Quali differenze tra piano Base e Pro? è urgente.,Commerciale,alta
249,Tempi di consegna ID#7125,Disponibilità prodotto e costi di spedizione..,Commerciale,bassa
250,Sconto per quantità ID#2953,Mi servono tempi di consegna stimati..,Commerciale,bassa
251,Tempi di consegna ID#2230,Mi servono tempi di consegna stimati. entro domani.,Commerciale,media
252,Stato ordine ID#5258,Disponibilità prodotto e costi di spedizione..,Commerciale,bassa
253,Info offerta Pro ID#4565,Vorrei fare upgrade del piano dal prossimo mese..,Commerciale,bassa
254,Upgrade piano ID#3316,Vorrei fare upgrade del piano dal prossimo mese..,Commerciale,bassa
255,Tempi di consegna ID#1626,Possiamo avere sconto per quantità su ordine ricorrente? il prima possibile.,Commerciale,bassa
256,Richiesta preventivo ID#7700,Vorrei fare upgrade del piano dal prossimo mese. entro domani.,Commerciale,media
257,Stato ordine ID#2276,Possiamo avere sconto per quantità su ordine ricorrente? il prima possibile.,Commerciale,bassa
258,Richiesta preventivo ID#9979,Disponibilità prodotto e costi di spedizione. è urgente.,Commerciale,alta
259,Info offerta Pro ID#2661,Posso modificare l'ordine già inserito? non urgente.,Commerciale,alta
260,Stato ordine ID#3681,Quali differenze tra piano Base e Pro? non urgente.,Commerciale,alta
261,Sconto per quantità ID#5641,Posso modificare l'ordine già inserito? entro oggi.,Commerciale,bassa
262,Cambio ordine ID#6117,Vorrei un preventivo per 20 licenze e assistenza. entro domani.,Commerciale,media
263,Cambio ordine ID#1298,Posso modificare l'ordine già inserito? entro domani.,Commerciale,media
264,Tempi di consegna ID#7635,Posso modificare l'ordine già inserito? il prima possibile.,Commerciale,bassa
265,Richiesta preventivo ID#3565,Posso modificare l'ordine già inserito? non urgente.,Commerciale,alta
